,Attr1,Attr2,Attr3,Attr6,Attr9,Attr12,Attr13,Attr17,Attr19,Attr21,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr30,Attr34,Attr35,Attr36,Attr38,Attr39,Attr40,Attr41,Attr45,Attr46,Attr48,Attr49,Attr50,Attr52,Attr53,Attr54,Attr56,Attr57,Attr59,class
729,0.32817,0.31076,0.26296,0.0,2.0562,1.7083,0.27301,3.2179,0.19841,1.4591,0.1596,0.60272,0.47904,1.5496,53.646,0.52779,0.10999,5.3079,0.40674,2.0562,0.74082,0.19781,0.40973,0.018278,6.0542,1.8741,0.25998,0.12644,1.6147,0.14478,1.3834,1.4869,0.19781,0.47613,0.07484,0
731,0.2023,0.69895,-0.079928,0.36379,1.1667,0.37444,0.19905,1.4307,0.18029,1.3526,0.14066,0.42764,0.14037,0.32805,1.5897,-0.20632,0.45699,0.28038,0.19597,1.5599,0.1468,0.13625,0.064985,0.10307,0.96056,0.58046,0.16899,0.11749,0.87644,0.56176,0.36233,0.37894,0.14289,1.4412,0.045827,0
735,0.12725,0.076108,0.20642,0.35665,1.1926,2.4334,0.21896,13.139,0.16881,1.0541,0.14031,0.45018,0.85457,2.2696,1.9363,0.28251,-0.10169,1.9346,0.14724,0.91453,0.86776,0.16235,0.108595,0.012983,4.1499,3.7937,0.10175,0.11219,3.5388,0.082734,1.1696,1.1876,0.16153,0.1489,0.01544,0
736,0.071095,0.81757,0.11061,0.48548,1.1395,0.47618,0.10542,1.2231,0.071866,0.75295,0.056378,0.61793,0.13194,0.13871,1.4374,0.15822,0.63957,0.19456,0.15907,1.3578,0.75919,0.12614,0.10059,0.13348,2.3408,1.4216,0.11676,0.092588,0.36808,0.17198,0.18874,1.086,0.12245,0.53883,0.1599,0
739,0.23144,0.21451,0.32534,0.4611,1.1822,1.3243,0.17429,4.6618,0.15249,1.5076,0.12439,0.55926,0.74223,1.2681,1.8918,0.70663,-0.087987,1.3881,0.29775,1.8881,0.74249,0.16003,1.7103,0.020845,5.3408,2.3162,0.25718,0.13822,2.5155,0.13613,1.6121,1.6127,0.15409,0.31182,0.000345,0
741,0.015162,0.56104,0.04631,0.12365,1.0603,0.080033,0.11324,1.7824,0.024818,1.1686,0.016644,0.16077,0.36928,0.17059,0.47486,0.068994,0.60764,0.072718,0.040798,0.92356,0.64784,0.044787,0.02931,0.15201,0.0867,0.54486,-0.039747,-0.043634,0.58603,0.32879,0.55017,0.96518,0.056841,0.041057,0.75434,0
742,0.078333,0.32658,0.30826,0.0,2.673,0.26747,0.044793,3.0621,0.029305,1.2416,0.029305,0.15647,0.4936,0.36663,0.0,0.77283,0.11914,6.5942,0.028574,2.673,0.70713,0.01069,0.089732,0.26295,0.52387,1.542,-0.041398,-0.015488,1.8407,0.13599,1.6883,1.7728,0.19435,0.11632,0.050059,0
743,0.073734,0.45426,0.06327,0.15743,1.0714,0.44877,0.11652,2.2014,0.07338,1.2815,0.05946,0.19413,0.53888,0.28008,0.83134,0.086203,0.33693,0.21182,0.096222,1.2673,0.79038,0.077595,0.18891,0.099751,0.90403,0.90979,0.042725,0.034454,0.58565,0.17519,0.73421,1.0769,0.06663,0.13683,0.4667,0
745,0.029323,0.5377,0.061292,0.0,0.74209,0.11874,0.049322,1.8598,0.039514,1.2508,0.039514,0.033538,0.33054,0.068071,0.0,0.088603,0.7026,1.0235,0.008614,0.74209,0.71751,0.011608,0.18501,2.4625,0.3544,0.91315,-0.007278,-0.009808,0.57325,0.44872,0.6683,1.0372,0.25841,0.063428,0.55203,0
746,0.058228,0.71835,0.21252,-0.53357,2.2371,0.084863,0.039556,1.3921,0.026029,0.95278,0.026029,0.1829,-0.47521,0.12319,-1.9602,2.097,0.29499,3.163,-0.035079,2.2371,0.31386,-0.01568,0.12308,-5.8857,0.13668,0.68883,-0.064594,-0.028874,1.251,0.30198,2.7791,3.097,-0.01568,0.20674,0.11437,0
747,0.070465,0.48013,0.03858,0.062656,1.4122,0.73981,0.27166,2.0828,0.2118,1.4472,0.17163,0.080506,0.47552,0.19795,3.8828,0.045718,1.1667,0.23511,0.11288,0.42262,0.83811,0.27494,0.5626,0.11483,0.91113,0.67027,0.088304,0.21507,0.32517,0.40431,0.5635,0.99316,0.29191,0.14819,0.7625,0
748,0.23094,0.4829,0.10988,-0.58223,0.919,1.7003,0.35038,2.0708,0.31095,1.4831,0.25129,0.3314,-0.3513,0.55326,10.375,0.15218,0.45999,1.1827,0.34789,0.919,0.7674,0.37855,0.39676,0.046154,2.8117,1.1651,0.2763,0.30065,0.57557,0.29427,0.71614,1.0628,0.37855,0.4466,0.48405,0
749,0.17412,0.23452,0.27334,0.0,1.1472,1.0383,0.26435,4.2641,0.15178,1.113,0.15178,0.35214,0.73257,1.2931,0.0,0.48901,0.14528,3.3141,0.011445,1.1472,0.8323,0.009977,0.41647,0.060536,2.2257,2.1635,-0.12913,-0.11257,1.8806,0.21577,1.3695,1.489,0.3225,0.22747,0.087294,0
752,0.28123,0.20087,0.45893,0.82672,1.3174,1.7971,0.26167,4.9784,0.24096,0.88492,0.19524,1.002,0.73467,1.5486,3.2035,1.319,0.13743,1.7438,0.35028,1.4636,0.7424,0.24318,0.018496,0.017373,0.90296,1.7636,0.32044,0.22246,3.2463,0.17663,2.1115,2.1338,0.2409,0.3828,0.010527,0
755,0.28948,0.53371,0.32948,0.0,4.2958,0.98262,0.0992,1.8737,0.083859,1.5045,0.067388,0.43212,0.45106,0.66587,35.816,1.0842,0.11312,7.3189,0.38962,4.2958,0.63339,0.090698,0.15132,0.040778,1.0446,1.1428,0.30448,0.070878,1.3042,0.093855,1.5343,2.0842,0.090698,0.62082,0.35836,0
756,0.16815,0.39343,0.056199,-0.040668,2.6722,1.4441,0.11494,2.5418,0.0862,1.888,0.062927,0.28655,0.56647,0.62263,36.727,0.071655,0.14037,6.1909,0.23651,2.6722,0.83398,0.08851,0.43652,0.041851,4.0592,1.0926,0.15974,0.059778,0.54827,0.065488,0.7734,1.0633,0.08851,0.27722,0.3749,0
757,0.34973,0.21234,0.043748,0.41857,1.4428,2.2579,0.31274,4.7095,0.28432,2.1153,0.22713,0.52992,0.73241,1.8531,4.181,0.057384,0.13304,2.1013,0.44619,1.5605,0.75086,0.28978,0.047266,0.014248,2.4638,0.49353,0.40244,0.26137,1.1191,0.18168,0.96071,0.98491,0.3069,0.4775,0.025189,0
758,-0.012885,0.56617,0.16394,0.13808,1.003,-0.034892,0.050288,1.7662,-0.007551,0.94164,-0.009925,0.18068,0.43018,0.10987,0.058738,0.29535,0.42028,0.01343,0.007604,1.3078,0.71538,0.005857,0.07925,0.22509,-0.045382,0.57295,-0.06749,-0.051983,0.78584,0.21706,0.77499,1.2888,0.002943,-0.029953,0.66297,0
764,0.084977,0.096562,0.32441,0.26805,1.0984,1.005,0.17666,10.356,0.089759,0.78525,0.089166,0.26861,0.89802,1.7377,1.0169,0.5494,-0.027118,0.91371,0.088229,0.97674,0.90946,0.092579,1.5294,0.01856,0.47466,2.708,0.005412,0.005679,4.2411,0.098104,1.5208,1.5402,0.089598,0.094627,0.012744,0
765,-0.09593,0.35599,0.24433,0.028361,0.95976,-0.35707,-0.08413,2.8091,-0.1189,1.3347,-0.099952,0.028729,0.58165,-0.17573,0.27696,0.56029,0.37092,2.1431,0.2041,0.95976,0.68041,0.21266,0.069543,0.13677,-0.3208,0.82884,0.020021,0.02086,1.5841,0.41891,1.4768,1.5603,0.21266,-0.14896,0.056525,0
767,0.21105,0.5286,0.11771,0.0,2.6549,0.64009,0.10208,1.8918,0.079494,1.1653,0.079494,0.46944,0.21105,0.51271,11.361,0.21301,0.16788,4.5965,0.22521,2.6549,0.61972,0.084827,0.29432,0.060593,2.4436,1.095,0.17086,0.064356,0.84644,0.1357,0.8531,1.1215,0.084827,0.44771,0.31463,0
768,0.00969,0.51224,0.23021,0.020402,1.0209,0.036245,0.034244,1.9522,0.009839,1.0605,0.006793,0.034227,0.45471,0.086887,0.25686,0.6018,0.32796,0.070072,0.035894,1.4635,0.57971,0.025161,0.1214,0.23817,0.025783,0.62393,0.001077,0.000755,1.2054,0.27711,1.1887,1.5154,0.020431,0.021311,0.2749,0
772,-0.001105,0.98249,-0.39251,-0.096932,1.0423,-0.006768,0.02036,1.0178,-0.00299,1.1971,-0.000554,-0.10903,-0.042165,0.046259,0.21928,-0.76688,0.48943,0.042694,0.041946,2.0588,0.059644,0.021038,0.040205,0.36498,-0.004385,0.26811,-0.004608,-0.002311,0.49687,0.46038,-0.08238,0.11653,0.040563,0.026211,-2.4146,0
773,0.11475,0.64224,-0.036345,0.21073,1.2286,0.52764,0.25451,1.557,0.16476,1.4078,0.12998,0.2655,0.35054,0.30205,2.4083,-0.047781,0.72674,0.26944,0.17305,0.90103,0.7171,0.19601,0.022609,0.083694,0.97209,0.43995,0.093809,0.10626,0.37265,0.38365,0.46082,0.94272,0.18609,0.32736,1.0457,0
775,0.073918,0.25913,0.24718,0.0,1.4839,0.40675,0.11914,3.859,0.06713,1.1113,0.049814,0.18139,0.68256,0.58307,6.1015,0.48664,0.16101,5.2113,0.13347,1.4839,0.74319,0.08995,0.10156,0.044216,0.28541,0.95175,0.041005,0.027634,1.8989,0.18135,1.4586,1.4632,0.08995,0.099772,0.003132,0
777,0.17811,0.50139,0.38466,0.35669,1.2909,0.20429,0.24232,1.9945,0.21007,1.4958,0.16966,0.44384,0.45659,0.42276,2.9547,0.72957,0.29429,0.47925,0.24029,1.0788,0.86987,0.22889,2.2493,0.060127,1.8433,4.2692,0.20643,0.19663,0.9429,0.10834,0.86599,1.6499,0.22533,0.39008,0.90516,0
779,0.031641,0.25797,0.092746,0.075288,1.0328,0.25313,0.20912,3.8764,0.048332,0.98538,0.078227,0.063855,0.74035,0.37475,0.55274,0.11174,0.6178,0.083907,0.021646,0.42247,0.92109,0.053516,0.10501,0.097846,0.5383,1.4398,-0.043388,-0.10727,0.65889,0.19721,0.89196,1.1097,0.031793,0.042737,0.24413,0
781,0.034338,1.1333,0.008279,-0.004608,1.0583,0.038873,0.051052,0.88234,0.037618,1.1454499999999999,0.03693,-0.003968,0.073245,0.04132,0.50259,0.09006,1.1066,0.038962,0.044157,0.93627,0.3068,0.04749,0.11758,0.65775,0.07419,0.49482,0.031665,0.034055,0.80123,1.0241,0.79678,3.3374,0.055096,0.46881,0.1599,0
784,0.032836,0.62545,0.02174,0.11683,1.0403,0.090715,0.062756,1.5988,0.0252,1.1568,0.018486,0.16315,0.36904,0.15915,0.4236,0.04484,0.34946,0.11564,0.072325,1.7833,0.50107,0.040718,0.021702,0.1479,0.10788,0.4272,0.005618,0.003163,0.82368,0.289,0.76118,1.0335,0.038757,0.088976,0.35774,0
785,-0.015454,0.29223,0.072596,0.0,0.75916,-0.089346,0.019544,3.4219,-0.020357,1.0724,-0.020357,0.086274,-0.015074,0.050772,-1.2187,0.096226,0.38494,2.6324,-0.010125,0.75916,0.82703,-0.013337,0.10854,0.46981,-0.11346,0.63227,-0.039849,-0.052491,0.84031,0.22485,0.93814,1.0962,-0.013337,-0.021835,0.16851,0
787,0.1833,0.48771,0.31661,0.93478,1.1235,0.54796,0.11743,2.0504,0.093179,0.89039,0.07534,1.1607,0.50858,0.49679,1.268,1.1741,0.18427,0.56304,0.2746,2.4435,0.58257,0.11287,0.10227,0.048066,1.7293,1.5091,0.21561,0.088621,1.4975,0.19104,1.886,2.1603,0.10989,0.36041,0.14548,0
788,0.23543,0.25748,0.5233,0.1782,2.1648,1.4217,0.14078,3.8838,0.13757,1.6316,0.10875,0.3416,0.42432,0.94133,10.866,1.9582,0.016955,7.1321,0.32842,2.1648,0.78724,0.15171,1.0716,0.025748,24.962,3.4533,0.31944,0.14756,2.8459,0.11407,2.7786,2.9459,0.15171,0.31706,0.06023,0
789,0.1022,0.42499,0.35341,0.002909,1.3845,0.37868,0.11047,2.353,0.091745,1.5965,0.07382,0.24331,0.39995,0.30148,10.219,1.1357,0.15399,2.9532,0.13813,1.3845,0.64715,0.099771,0.64799,0.086051,0.3327,1.1378,0.11277,0.081456,1.6208,0.26725,1.8479,2.0797,0.099771,0.17773,0.12546,0
790,0.14613,0.46776,0.17473,0.34309,1.151,0.47131,0.13156,2.1379,0.12347,1.2417,0.099657,0.42519,0.53224,0.33775,1.5906,0.39611,0.31324,0.43319,0.20263,1.4975,0.61586,0.13819,0.031094,0.0717,0.57604,0.79449,0.19077,0.1301,1.1948,0.30154,1.2065,1.3961,0.13119,0.27455,0.15711,0
791,0.11045,0.56986,0.27701,0.0,3.0512,0.29363,0.055351,1.7548,0.044922,1.5552,0.036198,0.18006,0.2764,0.24965,13.994,1.0813,0.18499,5.102,0.14372,3.0512,0.5332,0.047104,0.018975,0.10742,0.24569,0.63043,0.11319,0.037098,1.3052,0.16055,1.679,2.0813,0.047104,0.25677,0.2396,0
792,0.083479,0.35983,0.55944,0.18119,1.0501,0.31336,0.048272,2.7791,0.048272,1.0883,0.037688,0.23355,0.64017,0.232,0.4222,0.25904499999999997,0.05835,0.24749,0.089052,2.2633,0.65879,0.040204,1.0693,0.13284,0.33561,1.9106,0.089052,0.040204,2.503,0.16177,6.4439,6.6313,0.047744,0.1304,0.029075,0
793,0.026876,0.74573,0.13546,0.098164,1.0225,0.083767,0.037262,1.341,0.013227,1.1445,0.00831,0.16888,0.25427,0.14028,0.2491,0.38283,0.22418,0.10566,0.078792,3.2888,0.4893,0.024362,0.040496,0.15663,0.18931,0.98726,0.001055,0.000326,0.86647,0.16145,0.71859,1.3828,0.022003,0.1057,0.92437,0
795,0.18316,0.65855,0.20348,0.28226,1.1259,0.38864,0.090523,1.5185,0.083194,1.1085,0.064147,0.35793,0.28714,0.30991,1.031,1.0982,0.22439,0.39706,0.26148,2.8774,0.33446,0.091575,0.042304,0.076665,1.9955,1.1827,0.24055,0.084246,1.2371,0.24101,1.5497,1.8051,0.11182,0.63788,0.16478,0
797,0.033298,0.75382,-0.018697,0.13194,1.0278,0.10343,0.064435,1.3266,0.026556,1.101,0.021082,0.15813,0.23641,0.12354,0.28886,-0.030492,0.46862,0.058886,0.04439,1.602,0.58469,0.028104,0.051146,0.2378,0.37469,0.73476,-0.015439,-0.009775,0.51318,0.2639,0.38557,0.95357,0.027067,0.14085,1.4732,0
798,-0.01647,0.86887,0.14955,-0.13005,1.0813,0.014603,0.024112,1.1509,0.002431,1.1454499999999999,-0.012427,-0.1188,0.097848,0.014115,0.041265,0.23746,0.64091,0.005821,0.005058,1.3772,0.74604,0.003816,0.089513,0.84533,-0.088073,0.83025,-0.023676,-0.017864,0.4261,0.18004,0.15537,1.1846,0.075192,-0.16832,0.1599,0
800,0.098582,0.16394,0.6094,0.39614,1.1252,0.6466,0.12701,6.0996,0.10126,1.5159,0.094279,0.37574,0.51506,0.76554,1.0281,0.25904499999999997,-0.13476,0.58278,0.095544,1.0666,0.51525,0.091374,0.108595,0.044011,2.8757,4.5121,0.06862,0.065625,4.7159,0.17621,2.2706,2.2714,0.11126,0.1914,0.000373,0
801,-0.21826,1.1755,-0.44421,-0.36805,0.91884,-0.20056,-0.1648,0.8507,-0.19128,1.1084,-0.18325,-0.37486,-0.225,-0.15884,-1.3048,-1.441,0.91315,-0.14388,-0.16913,1.2088,-0.18545,-0.142,0.10181,-0.28088,-0.66395,0.31956,-0.20068,-0.16848,0.58846,0.87632,-0.72991,-0.6016,-0.088325,0.97007,-0.17579,0
802,0.11957,0.8041,0.6085,0.12426,1.0793,0.80998,0.13688,1.2436,0.1067,1.0217,0.1067,0.12426,0.18911,0.19076,0.82178,2.4951,0.71044,0.10611,0.085325,1.2109,0.84558,0.076141,0.057595,0.22189,0.20142,1.1005,0.051512,0.045967,0.94034,0.14218,0.77544,3.4673,0.073458,0.6323,0.1599,0
807,-0.02663,1.346,-0.35797,-0.38827,3.2355,-0.023921,0.001605,0.74296,-0.008231,0.80593,-0.008231,-0.41332,-0.41096,0.003858,-2.5871,-1.4628,0.38141,2.4237,-0.026757,3.2355,-0.29014,-0.00827,0.10365,0.10873,-0.12289,0.48379,-0.058665,-0.018132,0.56114,0.34125,-1.4137,-1.1856,-0.00827,0.076974,-0.16137,0
811,0.38312,0.45246,0.083849,0.44258,1.5371,1.6423,0.38224,2.2102,0.33779,1.1454499999999999,0.27326,0.54747,0.53911,0.98447,5.3956,0.13356,0.31774,1.0877,0.49216,1.4174,0.70319,0.35103,0.025305,0.026828,3.7534,0.93681,0.42984,0.30658,0.82266,0.31614,0.85875,1.1201,0.34942,0.71065,0.30437,0
814,0.11839,0.78028,0.13326,0.152,1.1113,0.22522,0.10878,1.2816,0.10619,2.4698,0.084491,0.19042,0.21542,0.15637,1.1169,0.64668,0.39975,0.18048,0.14083,1.4101,0.33503,0.1005,0.32745,0.17759,0.68912,0.94166,0.1372,0.097916,1.0175,0.52398,1.0454,1.6258,0.10016,0.54958,0.55521,0
816,-0.16583,0.24124,0.2463,-0.12285,0.88389,-0.75542,-0.087898,4.1453,-0.17488,0.97787,-0.18667,-0.10012,0.662,-0.36709,-1.585,0.44943,-0.034889,-0.66034,-0.1593,0.95576,0.69758,-0.17932,1.2754,-0.096691,-1.3211,1.5873,-0.23657,-0.2663,1.8735,0.20462,1.2079,1.2729,-0.13136,-0.2505,0.053747,0
817,0.22764,0.52383,0.55189,0.37335,1.9093,0.98422,0.38961,1.909,0.37782,1.559,0.29697,0.4789,0.47114,0.45182,7.4216,0.25904499999999997,0.68254,0.56879,0.29795,0.84404,0.70072,0.3887,0.004866,0.056099,0.35407,0.69064,0.28891,0.37691,1.6153,0.73296,3.0622,4.5543,0.47626,0.48316,0.48728,0
818,0.22848,0.19697,0.61735,0.45535,1.181,1.4745,0.17012,5.0768,0.1598,1.3532,0.12904,0.56451,0.8029,1.2528,1.8263,0.25904499999999997,-0.085758,1.3901,0.27381,1.7855,0.80798,0.15464,1.8885,0.022171,13.404,4.1283,0.25553,0.14431,4.1084,0.12799,4.209,4.2356,0.15328,0.28457,0.006326,0
823,0.058815,0.47567,0.038578,0.24654,1.0327,0.23478,0.13663,2.1023,0.07733,0.93502,0.061085,0.30605,0.52433,0.24369,0.81764,0.059877,0.37886,0.16027,0.076233,1.0183,0.68287,0.079175,0.35157,0.11729,0.94629,0.92566,0.019135,0.019873,0.74781,0.34014,0.81381,1.0599,0.031656,0.11217,0.30236,0
826,0.62601,0.32866,0.4534,0.0,3.7214,2.2491,0.20155,3.0426,0.18672,1.5474,0.16822,0.8041,0.62601,2.0727,39.063,1.9079,0.07166,9.2187,0.69154,3.7214,0.69105,0.18583,0.23132,0.014631,1.4584,1.0782,0.63837,0.17154,2.3196,0.10197,2.825,2.9079,0.18583,0.93249,0.029357,0
830,0.030166,0.52088,-0.13884,0.098473,1.0397,0.10354,0.053565,1.9198,0.025658,0.82053,0.019396,0.13217,0.44129,0.14124,0.33919,-0.18427,0.33264,0.097413,0.05074,1.5874,0.57676,0.032624,0.011668,0.1819,1.4669,0.5864,0.007337,0.004718,0.47336,0.25763,0.5857,0.76551,0.038154,0.068358,0.30699,0
831,0.1587,0.51146,0.052874,0.30406,1.0418,0.38967,0.068902,1.9552,0.054527,1.6492,0.045664,0.36966,0.48417,0.40796,0.62795,0.11474,0.14145,0.40957,0.20948,3.5559,0.50933,0.060277,0.047894,0.064813,0.90462,0.74799,0.15952,0.045901,1.0542,0.14578,1.0507,1.1053,0.040102,0.32777,0.051966,0
833,0.11958,0.68183,0.30929,0.4653,1.0324,0.2333,0.030931,1.4666,0.029612,1.1585,0.023883,0.5756,0.31221,0.18507,0.32432,0.25904499999999997,0.13585,0.23067,0.15728,5.0081,0.35854,0.031412,0.035351,0.13678,0.28583,0.82837,0.15067,0.030093,1.3857,0.13104,5.6555,6.4947,0.031426,0.38301,0.14838,0
840,0.16022,0.50283,0.065414,0.032446,3.0667,1.096,0.0978,1.9887,0.066002,1.3847,0.052244,0.21467,0.48641,0.51257,4.3493,0.087228,0.15475,5.5901,0.25586,3.0667,0.80145,0.083432,0.15677,0.049331,1.7943,0.8707,0.14473,0.047193,0.49736,0.065699,0.66297,1.0687,0.083432,0.32226,0.61203,0
841,0.011195,0.65889,-0.062708,0.16811,1.0155,0.029682,0.037038,1.5177,0.012459,1.1959,0.009469,0.20048,0.33114,0.061094,0.043748,-0.1107,0.55715,0.00773,0.005093,1.2037,0.49377,0.004308,0.009549,0.63428,0.033632,0.20289,-0.023966,-0.020271,0.658,0.42627,0.58459,0.8717,0.015276,0.033808,0.49114,0
842,0.16409,0.23249,0.35576,0.50877,1.1759,1.8255,0.16489,4.3013,0.14161,0.90207,0.11355,0.64094,0.73869,0.8505,1.8376,0.66856,0.031103,0.97144,0.22585,1.4578,0.85907,0.15628,1.6802,0.029456,2.1656,3.4975,0.19221,0.133,2.0124,0.091218,1.3882,1.6144,0.14956,0.22214,0.16296,0
844,-0.29253,0.33842,-0.013171,-2.4442,0.46985,-0.88805,-0.57362,2.9549,-0.6226,1.1454499999999999,-0.6226,-0.41592,-1.4083,-0.79639,-14.086,-0.019262,0.72027,1.8902,-0.14682,0.46985,0.67059,-0.31248,0.2984,-0.045054,-3.058,0.66961,-0.29641,-0.63086,0.93445,0.51495,0.96756,0.98074,-0.31248,0.0,0.013621,0
846,0.11777,0.56203,0.13914,0.23988,1.1248,0.38161,0.12939,1.7793,0.08872,1.0597,0.069671,0.30742,0.43368,0.33186,1.2189,0.29739,0.33003,0.32593,0.18318,1.7088,0.60271,0.10837,0.022575,0.073346,0.83109,0.99346,0.11444,0.0677,0.94682,0.26151,0.92696,1.2882,0.11095,0.27156,0.38974,0
848,0.14686,0.28842,0.29788,0.0,2.0196,0.68774,0.12176,3.4672,0.090932,0.80936,0.072716,0.51056,0.64412,0.72503,60.339,0.68464,0.10787,6.4512,0.159,2.0196,0.72419,0.078727,0.26779,0.039052,0.56357,1.1396,0.12168,0.060248,1.9587,0.14352,1.6355,1.6645,0.078727,0.20638,0.017715,0
849,0.086728,0.77068,-0.068092,0.0,1.701,0.23182,0.070961,1.2976,0.063028,1.3473,0.050987,0.15846,0.16698,0.13004,17.723,-0.11243,0.42873,2.0709,0.10497,1.701,0.53753,0.061712,0.089556,0.20165,0.60916,0.54491,0.10041,0.059029,0.51173,0.28976,0.37865,0.88757,0.061712,0.3782,1.344,0
853,0.096566,0.69736,-0.000208,0.0,2.6187,0.1682,0.036942,1.434,0.036876,1.3188,0.036876,0.13885,0.29387,0.13873,0.0,-0.000488,0.26586,3.3944,0.019173,2.6187,0.36773,0.007322,0.002612,0.10873,0.59179,0.71541,-0.000175,-6.7e-05,0.82295,0.24253,0.71025,0.863,0.096075,0.31908,0.21506,0
854,0.13396,0.63982,0.25067,0.0,2.4881,0.30336,0.074366,1.5629,0.067434,1.0332,0.053839,0.29018,0.34176,0.23633,13.122,1.2773,0.25688,3.7469,0.090757,2.4881,0.37693,0.036476,0.011202,0.10803,0.82389,1.1592,0.16293,0.065482,1.2562,0.2307,1.8353,1.9206,0.036476,0.37192,0.04649,0
857,0.002851,0.9833,0.66325,-0.087625,1.0224,0.054098,0.019497,1.017,0.00255,1.2317,0.000991,-0.08885,-0.003299,0.052485,0.22614,0.25904499999999997,0.32058,0.064717,0.063636,2.8811,0.84441,0.022119,0.45906,0.28763,0.004309,1.0133,0.014878,0.005172,0.81241,0.048186,-0.016398,4.1978,0.021899,-0.86416,-256.99,0
858,0.15693,0.58483,0.27669,0.0,1.8835,0.30375,0.083316,1.7099,0.083316,1.4249,0.083316,0.37497,0.36689,0.26833,32.976,1.3387,0.15263,2.9222,0.18498,1.8835,0.44028,0.098212,0.7246,0.10752,13.853,1.5136,0.18131,0.096261,1.3565,0.3023,2.0087,2.1302,0.098212,0.37798,0.060478,0
860,0.019361,0.67581,-0.067134,0.050867,1.0218,0.058081,0.050144,1.4797,0.015856,1.0844,0.011615,0.072717,0.31767,0.11322,0.27392,-0.10968,0.40099,0.066117,0.044682,1.6882,0.53843,0.026807,0.057213,0.21818,0.10917,0.46273,-0.01247,-0.007481,0.57401,0.27897,0.51901,0.87967,0.021374,0.060946,0.69492,0
861,0.1605,0.55934,0.2421,0.0,3.2667,0.60116,0.0802,1.7878,0.061787,1.2815,0.049132,0.24466,0.27426,0.39449,11.54,0.57351,0.15803,5.4611,0.21212,3.2667,0.6598,0.064934,0.16347,0.066355,3.4932,1.5842,0.16068,0.049188,1.0331,0.10992,1.0439,1.563,0.064934,0.36423,0.49729,0
865,-0.043739,0.86764,-0.055935,-0.026233,0.97289,-0.043934,-0.005285,1.1525,-0.015763,1.023,-0.018118,-0.012436,0.12503,-0.021259,-0.26106,-0.29471,0.34691,-0.074663,-0.06478,2.4511,0.12653,-0.026834,0.036287,-0.72241,-0.06444,0.15176,-0.090074,-0.037311,0.9338,0.34905,0.65875,0.66667,-0.027868,-0.34983,0.012034,0
867,0.53491,0.46201,0.31327,0.60171,1.3097,1.2304,0.25811,2.1645,0.24639,1.781,0.24639,0.60171,0.53493,1.2128,3.1522,1.2432,0.18483,1.131,0.52253,2.2001,0.56219,0.24069,0.59938,0.027719,3.5609,1.375,0.4971,0.22898,1.6191,0.26227,2.1229,2.2311,0.23644,0.99995,0.05095,0
868,0.013968,0.23845,0.25049,0.0,1.6329,0.094748,0.040209,4.1937,0.012284,0.90429,0.008554,0.039249,0.61096,0.24981,-9.8517,0.46577,0.084131,6.9939,-0.034766,1.6329,0.77028,-0.021291,0.49553,0.35326,0.25971,1.9291,-0.068698,-0.04207,1.9383,0.12695,1.416,1.4323,-0.021291,0.018341,0.011473,0
869,3e-06,0.51496,0.19614,0.0,1.5266,-0.071396,0.000796,1.9419,-0.020991,0.9546,2e-06,0.19604,0.46443,0.064595,-1.9276,0.55247,0.32176,3.0268,-0.032086,1.5266,0.5197,-0.021018,0.061754,0.10873,8e-06,0.51561,-0.06071,-0.039768,1.2525,0.28796,1.3662,1.4638,-0.021018,7e-06,0.071462,0
870,0.18617,0.36556,0.35806,0.022407,2.1223,2.1551,0.12932,2.7355,0.10911,1.0262,0.08772,0.54972,0.55944,0.62663,14.209,0.6699,0.11228,5.1289,0.2474,2.1223,0.87993,0.11657,1.3374,0.042303,1.2105,2.901,0.20225,0.095295,1.2734,0.057307,1.187,1.6463,0.11657,0.29344,0.38694,0
874,0.13302,0.42983,0.37257,0.0,1.8461,0.39465,0.099028,2.3265,0.088956,1.381,0.072054,0.29836,0.52569,0.35272,23.213,1.7631,0.19279,3.8956,0.17161,1.8461,0.58389,0.092961,0.17764,0.075327,0.42625,1.1454,0.15302,0.082889,1.8349,0.2485,2.6982,2.7631,0.092961,0.2333,0.024062,0
877,0.056977,0.69677,0.20616,0.0,2.0568,0.11256,0.053078,1.4352,0.034876,1.1088,0.027702,0.12539,0.23983,0.1355,2.8026,1.3168,0.28327,2.7946,0.10959,2.0568,0.36273,0.05328,0.22773,0.16063,0.36388,1.0778,0.069717,0.033896,1.2105,0.32727,1.9367,2.3168,0.05328,0.1879,0.19624,0
878,0.37746,0.39955,0.17964,0.60569,1.2307,1.4516,0.20953,2.5028,0.18699,1.3866,0.1511,0.76611,0.58156,1.0857,2.2461,0.36031,0.070807,1.1411,0.45591,2.5251,0.65931,0.1825,0.7022,0.025645,127.4,1.549,0.39959,0.15996,1.255,0.15854,1.1665,1.3224,0.18746,0.64905,0.13368,0
879,0.063868,0.85737,-0.11784,0.0,2.5676,0.12716,0.04195,1.1664,0.031374,1.2408,0.024875,0.13924,0.11294,0.10617,7.4845,-0.24329,0.27809,2.9006,0.080696,2.5676,0.36654,0.031429,0.22709,0.25425,1.7941,0.75778,0.058093,0.022626,0.6014,0.25472,0.29447,0.75671,0.031429,0.44778,1.5698,0
